Artikelnummer;Artikelname
A02778;Librandi Critone Bianco Doc 13%vol. - 0,75L
A02507;Librandi Calaonda Rosso 13%vol. - 0,75L
A01100;Glas Acqua Panna ohne Kohlensäure - 16x0,75L
A02668;Bardolino Doc Cesari 12,5%vol. - 0,75L
A01099;Crodino Biondo Aperitivo alkoholfrei - 8x98ml
A02881;(X)Donnafugata Damarino DOC weiß&trocken 11,5%vol. (IT) - 0,75L
A02882;(X)Donnafugata SurSur DOC weiß&trocken 12,5%vol. (IT) - 0,75L
A02883;(X)Donnafugata Lumera DOC rose&trocken 12,5%vol. (IT) - 0,75L
A02884;(X)Donnafugata Sherazade Nero d'Avola DOC rot&trocken 12,5%vol. (IT) - 0,75L
A02885;(X)Donnafugata Sedára DOC rot&trocken 13,5%vol. (IT) - 0,75L
A02260;Disaronno Originale Mandelikör 28%vol. - 0,7L
A02685;Conte Carino Soave Dop 12,5%vol. - 1,5
A02669;Borgo Del Re Barbera D'Asti Docg 12,5%vol. - 1,5L
A03581;De Cecco Spaghettini n°11 - 500g
A03582;De Cecco Tortiglioni n°23 - 500g
A03583;De Cecco Rigatoni n°24 - 500g
A03523;De Cecco Fusilli n°34 - 500g
A03580;De Cecco Penne Lisce n°40 - 500g
A03526;De Cecco Penne Rigate n41 - 500g
A03522;De Cecco Conchiglioni Rigati n126 - 500g
A05024;De Cecco Classico Extra Vergine Olivenöl - 1L
A02341;(X) Marcati Grappa Di Moscato 40%vol. - 0,7L
A02340;(X) Marcati Grappa Chardonnay 40%vol. - 0,7L
A02343;Marcati Grappa Bianca Riserva mit Zapfhahn 40%vol. - 5L
A02363;"Marcati Grappa Bianca ""B. delle Muse"" 40%vol. - 1,5L"
A02455;Marcati Limoncello 28%vol. - 1,5L
A02339;Marcati Gagliano Grappa Al Caffe 38%vol. - 1,5L
A06670;Jolly Feine Erbsen - 400g
A09764;ACE Profumata - 1L
A09700;Ace Classica - 3L
A02985;Santa Maria La Palma Aragosta Vermentino DOC weiß&trocken 13,5%vol. (IT) - 0,75L
A03035;(X) Bauli Croissant Vaniglia - 6x50g
A06682;Di Vita Peperonata/Ital. Paprikagemüse - 3kg
A06572;Fabbri Amarena Kirschen - 600g
A03324;Scotti Carnaroli Reis - 1kg
A03329;Scotti Venere schwarzer Vollkornreis - 5x1kg
A03317;Scotti Arborio Risotto Reis - 1kg
A03318;Scotti Oro Risotto Reis - 1kg
A02510;Antinori Tignanello rot&trocken 14%vol. (IT) - 0,75L
A06410;Simmenthal Fleisch - 140g
A02886;Cantina di Negrar Appassimento Rosso IGT rot&trocken 14%vol. (IT) - 0,75L
A03075;Nonino Prunella Mandorlata/Pflaumenlikör 33%vol. - 0,7L
A03077;"Nonino Grappa Riserva AnticaCuvee ""5Y"" 43%vol. - 0,7L"
A03074;Nonino Grappa Vuisinar Riserva 41%vol. - 0,7L
A02369;Nonino Grappa Optima 41%vol. - 0,7L
A02921;"Nonino Grappa ""43°"" Friulana 43%vol. - 0,7L"
A03070;Nonino Grappa Lo Chardonnay Mono 41%vol. - 2L
A03071;Nonino Grappa Il Prosecco Mono 41%vol. - 2L
A03078;"Nonino Grappa Riserva ""8Y"" 43%vol. - 0,7L"
A03072;Nonino Grappa Vendemmia 41%vol. - 0,7L
A03073;Nonino Grappa Vendemmia Riserva 41%vol. - 0,7L
A03076;Nonino L'Aperitivo Botanical drink/Kräuterlikör 21%vol. - 0,7L
A02359;Molinari Sambuca Caffè 32%vol. - 0,7L
A02358;Molinari Sambuca Anislikör 40%vol. - 0,7L
A03741;Kimbo Espresso Napoletano ganze Bohnen - 1kg
A03744;Kimbo Aroma Gold ganze Bohnen - 1kg
A03742;Kimbo Caffè Crema Classico ganze Bohnen - 1kg
A03743;Kimbo Espresso Crema Dolce ganze Bohnen - 1kg
A03740;Kimbo Espresso Napoletano gemahlen - 250g
A02303;Aperol Bitter Aperitif 11%vol. - 1L
A02310;Cynar Bitter Artischockenlikör 16,5%vol. - 1L
A02257;(X)Cynar Bitter Artischockenlikör 16,5%vol. - 0,7L
A02499;Andrea Da Ponte Grappa Prosecco 8 Jahre 42%vol. - 0,7L
A02206;Andrea Da Ponte Uve Bianche Acquavite 38%vol. - 0,7L
A01199;Glas San Pellegrino Mineralwasser - 24x0,25L
A01101;Glas Acqua Panna ohne Kohlensäure - 24x0,25L
A01098;Sanbitter Rosso Aperitivo alkoholfrei - 10x98ml
A01198;Glas San Pellegrino Mineralwasser - 16x0,75L
A06117;Gemma di Mare Meersalz fein/fino - 1kg
A06118;Gemma di Mare Meersalz grob/grosso - 1kg
A02826;Tenuta Lucente Toscana rot&trocken 13,5%vol. (IT) - 0,75L
A02827;Tenuta Luce Toscana in Holzkiste rot&trocken 14%vol (IT) - 0,75L
A03550;Temporin Frische Gourmet Linguine - 1kg
A03551;Temporin Frische Gourmet Pappardelle - 1kg
A03554;Temporin Frische Gourmet Tagliatelle Sepia - 1kg
A03549;Temporin Frische Gourmet Tagliatelle - 1kg
A03555;Temporin Tagliatelle gelb, Catering - 3kg
A03547;Temporin Frische Gourmet Spaghetti - 1kg
A06574;X Nova Artischokenherzen in Öl (Cuori Di Carciofo) 1700ml
A06480;Nova Getrocknete Tomaten in Öl - 3100ml
A06592;Nova Schwarze Oliven Creme(Olive Nere Pasta) - 580g
A06479;Nova Artischockenviertel - 2650ml
A03001;Bonomi Savoiardi Löffelbisquit - 400g
A02814;Castelnuovo Lugana DOC 12,5%vol. - 1,5L
A03594;Frisch Gnocconcini Funghi Porcini/Steinpilze - 500g
A03596;Frisch Gnocconcini Pomodori/Tomate&Mozzarella - 500g
A03542;Belliltalia Gnocchi - 500g
A03595;Frisch Gnocconcini Tartufo/Trüffel - 500g
A03515;Bellitalia Lasagne gelb - 500g
A03516;Bellitalia Tagliatelle 7mm gelb - 500g
A03517;Bellitalia Tagliatelle 7mm grün - 500g
A03558;Bellitalia Paglia e Fieno/Tagliolini 3mm gelb&grün - 500g
A03544;Bellitalia Pappardelle all'uovo gelb - 500g
A03518;Bellitalia Tortellini mit Rindfleisch - 250g
A03519;Bellitalia Tortellini/klein mit Schweinefleisch - 250g
A03521;Bellitalia Tortelloni/groß mit Schweinefleisch - 500g
A03520;Bellitalia Tortelloni Ricotta/Spinat - 500g
A03588;Frisch Grantortelli Ricotta&Spinat - 500g
A03586;Frisch Girasoli Salmone/Räucherlachs - 500g
A03584;Frisch Girasoli Gorgonzola&Noci/Walnüssen - 500g
A03589;Frisch Grantortelli Tartufo/Trüffel - 500g
A03585;Frisch Girasoli Pomodori/Tomate&Mozzarella - 250g
A03597;Frisch Paccheri - 500g
A02697;Lombardo Marsala Fine Trocken - 0,75L
A02776;Marsala Cremaoro - 2L
A02699;Marsala Cremaoro - 0,75L
A02698;Lombardo Marsala Fine Trocken - 2L
A06678;Cannone Gemüse-Vorspeise - 3100ml
A09539;Servietten chinesisch 2-lagig 1/8 Falz 40x40cm - 250Stk.
A04132;Salsiccia Toscana Classica - 300g
A04133;Salsiccia Toscana al Finocchio - 300g
A05103;Monti Pesto Grün Genovese - 500g
A05099;Monti Pesto Rosso - 500gr
A08012;Aluplatte mit Deckel (R98L) - 10Stk.
A08062;X Aluschale + Deckel R62L / 114 eckig - 50Stk.
A08032;X Aluschale+Deckel R803L / 552 rund - 50Stk.
A08057;X Aluschale + Deckel R13L / 208 eckig - 50Stk.
A08058;Alu-Menüschale + Deckel 2-teilig 122 M.D flach - 50Stk.
A08055;Alu-Menüschale + Deckel 3-teilig M9G M.D tief - 50Stk.
A08060;Alu-Menüschale + Deckel 1-teilig R1G / 217 M.D flach - 50Stk.
A08009;Alu-Menüschale ungeteilt (R2G/111) M.D tief - 100Stk.
A08027;Aluschale R62L / 114 eckig - 100Stk.
A08003;Alu-Menüschale 2-teilig (M8G) M.D, tief - 100Stk.
A08007;Alu-Menüschale 3-teilig (M9G) M.D tief - 100Stk.
A08000;Alu-Menüschale 2-teilig (122) M.D flach - 100Stk.
A08006;Alu-Menüschale 3-teilig (M6G) M.D flach - 100Stk.
A08042;Deckel für Aluschale R28L / 155 - 100Stk.
A08046;Deckel für Aluschale R87L / 187 - 100Stk.
A08041;Deckel für Aluschale R24 / 128 - 100Stk.
A08040;Deckel für Aluschale R1L / 209 - 100Stk.
A08049;Pappdeckel für Alu-Menüschale (323/32) - 100Stk.
A08043;Deckel für Aluschale R62L / 114 - 100Stk.
A08035;Deckel für Aluschale 533 / 540 rund - 100Stk.
A08037;Deckel für Aluschale C803L / 541 rund - 50Stk.
A08045;Deckel für Aluschale R803L / 552 rund - 100Stk.
A08038;Deckel für Aluschale C807 / 550 rund - 100Stk.
A08039;Deckel für Aluschale R13L / 208 - 100Stk.
A08034;Deckel für Aluschale 214 - 100Stk.
A08033;Deckel für Aluschale 118 - 100Stk.
A08048;Maschinendeckel für Alu-Menüschale (227x177mm) - 100Stk.
A06406;Rio Mare Thunfisch in Olivenöl - 160g
A05069;Basso Extra Vergine Olivenöl - 5L
A05068;Basso Extra Vergine Olivenöl - 1L
A02936;Frangelico Haselnusslikör 20%vol. - 0,7L
A05046;Varvello Crema di Balsamico rot - 0,5L
A05045;Varvello Crema Balsamico Erdbeer - 250ml
A05040;Varvello Aceto Balsamico di Modena - 5L
A05041;Varvello Aceto Balsamico IGP - 1L
A05043;Varvello Aceto Bianco Condimento - 5L
A05049;Varvello Weinessig weiß - 1L
A05044;Varvello Aceto Balsamico di Modena - 0,5L
A05042;Varvello Aceto Bianco Bordolese - 0,5L
A05048;Varvello Weinessig rot - 1L
A06472;Mutti Passierte Tomaten - 700g
A02803;Vecchia Chianti Docg 12,5%vol. - 0,25L
A02690;Lambrusco Caldirola Dolce - 2L
A02694;La Cacciatora Lambrusco Rotwein - 0,25L
A02691;Lambrusco Caldirola Donna Elisia 9%vol. - 0,75L
A02688;La Cacciatora Dolce Frasca Rotwein - 0,75L
A02689;La Cacciatora Dolce Frasca Rotwein - 1,5L
A02692;Lambrusco Dell Emilia Bianco - 0,75L
A03051;Rotari Brut Metodo Classico DOC 12,5%vol. (IT) - 0,75L
A03052;Rotari Brut Rosé Classico DOC 12,5%vol. (IT) - 0,75L
A02469;Branca Fernet ital. Magenbitter 35%vol. - 0,7L
A02281;Branca Menta ital. Magenbitter 28%vol. - 0,7L
A02785;Cantine Pellegrino 1880 Diantha Bianco 12,5%vol. - 0,75L
A02948;Caffo Vecchio Amaro del Capo Kräuterlikör 35%vol. - 0,7L
A03060;Maschio Beniamino Brentè Grappa Bianca 42%vol. (IT) - 0,7L
A03059;Maschio Beniamino Brentè Grappa Riserva Barrique 42%vol. (IT) - 0,7L
A02807;Lambrusco Dell Emilia Medici 7,5%vol. - 0,75L
A02696;Lambrusco Medici Dolce 7,5%vol. - 1,5L
A02686;Frizzantino Dolce Medici - 1,5L
A02687;Frizzantino Medici - 0,75L
A06666;La Valle Pizza Soße - 4250ml
A06667;La Valle Geschälte Tomaten - 1500g
A06231;Frisch Rucola - 125g
A06698;Mutti Tomatenkonzentrat 2-Fach - 4500g
A06470;Mutti Geschälte Tomaten Mediterranei - 1500g
A06471;Mutti Geschälte Tomaten - 800g
A06697;"Mutti Geschälte Tomaten ""SAN MARZANO"" - 1500g"
A06473;Mutti Passierte Tomaten Basilikum - 700g
A06474;Mutti Polpa Tomaten fein - 2x5kg
A06699;Mutti Pomodorini Cherrytomaten - 2650ml
A06700;Mutti Pizza Soße Classic - 4100g
A03532;Divella Spaghetti Ristorante n8 - 500g
A03533;Divella Spaghettini n9 - 500g
A03530;Divella Elicoidali n22 - 500g
A03531;Divella Penne Ziti Rigate n27 - 500g
A02335;Lucano Amaro Kräuterlikör 28%vol. - 0,7L
A02981;Cellaro Grillo Lumà IGT weiß&trocken 12,5%vol. (IT) - 0,75L
A03067;Cellaro Lumà Nero d'Avola IGT rot&trocken 13%vol. (IT) - 0,75L
A06586;Cipolle Borettane Süß Sauer Zwiebel eingelegt - 2650ml
A02521;Bottega Limoncino Limoncello 30%vol. - 0,5L
A02731;Tafelwein Rosso Geschenkwein - 0,75L
A02729;Tafelwein Rosso - 1,5L
A02730;Tafelwein Rosso - 2L
A02727;Tafelwein Bianco Geschenkwein - 0,75L
A02725;Tafelwein Bianco - 2L
A02800;Tafelwein Rosato Geschenkwein - 0,75L
A02888;Canella Aperitif Rossini Erdbeere 5%vol. (IT) - 0,75L
A02887;Canella Aperitif Bellini Pfirsich 5%vol. (IT) - 0,75L
A02693;Lambrusco Geschenkwein - 0,75L
A02492;Ramazzotti ital. Kräuterlikör 30%vol. - 0,7L
A02733;Vecchia Chianti Docg 12,5%vol. - 1,5L
A02796;(X) Pinot Grigio Baglio Al Sole Friuli Doc 12,5%vol. - 0,75L
A02025;Glas Birra Moretti Zero 0,0%vol. - 20x0,33L
A02024;Glas Birra Moretti Limone Radler 1,3%vol. - 20x0,33L
A11341;TK Surgital Gran Gnocchi mit Kartoffeln - 1kg
A11333;TK Surgital Panzerotti Steinpilz/Champignon - 3kg
A11334;TK Surgital Cannelloni Ricotta/Spinat - 3kg
A11328;TK Surgital Panzerotti Riccotta/Spinat - 3kg
A11339;TK Surgital Cannelloni Rindfleisch mit Béchamelsoße - 3kg
A11329;TK Surgital Fiocchi Käse/Birne - 3kg
A11347;TK Surgital Lasagne nach Bologneser Art - 2,5kg
A11343;TK Surgital Ravioloni Ricotta aus Büffelmilch und Blattspinat - 5x400g
A11327;TK Surgital Grantortellone Ricotta/Spinat - 3kg
A11331;TK Surgital Lunette mit 4 Käsesorten - 3kg
A11342;TK Surgital Prontosfoglia/Lasagneplatten - 5x2kg
A11332;TK Surgital Giganti Sepia mit Lachs - 3kg
A11344;TK Surgital Riso Carnaroli Reis vorgekocht - 1kg
A11330;TK Surgital Girasoli Mascarpone/Walnuss - 3kg
A11346;TK Surgital Steinpilzsoße - 500g
A11340;TK Surgital Fusilloni mit frischem Eiernudelteig - 2kg
A11345;TK Surgital Trüffelsoße - 500g
A02734;(X)Villafranca Frascati Secco 12,5%vol. - 0,75L
A02735;(X)Villafranca Frascati Secco 12,5%vol. - 1,5L
A06507;Tadim Bezelye/Erbsen - 850g
A06312;Tadim Weiße Bohnen/Haslanmis Fasülye - 850g
A06508;Tadim Kichererbsen/Nohut - 850g
A06509;Tadim Rote Kidney Bohnen - 850g
A06313;Tadim Weiße Riesen Bohnen - 850g
A11466;TK Bindi Souffle al Pistacchio - 12x90g
A11468;TK Bindi Tartufo Nocciola - 12x75g
A11453;TK Bindi Soufflé al Cioccolato Bianco - 12x100g
A11456;TK Bindi Tiramisu con Savoiardi - 1050g
A11467;TK Bindi Tartufo al Pistacchio - 12x75g
A11463;TK Bindi Tartufo al Limoncello - 12x85g
A11457;TK Bindi Millefoglie - 1350g
A11460;TK Bindi Torta Limone - 1000g
A11454;TK Bindi Profiteroles scuro Vaschetta - 1100g
A11455;TK Bindi Profiteroles bianco Vaschetta - 1100g
A11465;TK Bindi Ispirazione alla Crema - 20x95g
A11464;TK Bindi Cassata al Pistacchio - 16x100g
A11461;TK Bindi Tartufo Classico - 12x85g
A11452;TK Bindi Soufflé al Cioccolato - 12x100g
A11462;TK Bindi Tartufo Bianco - 12x75g
A08016;Aluschale 118 eckig - 100Stk.
A08017;Aluschale 128 eckig - 100Stk.
A08026;Aluschale R28L / 155 eckig - 100Stk.
A08029;Aluschale R87L / 187 eckig - 100Stk.
A08023;Aluschale R13L / 208 eckig - 100Stk.
A08024;Aluschale R1L / 209 eckig - 100Stk.
A08025;Aluschale 214 / 553 - 100Stk.
A08008;Alu-Menüschale ungeteilt (R1G/217) M.D flach - 100Stk.
A08001;Alu-Menüschale 2-teilig (325) P.D flach - 100Stk.
A08004;Alu-Menüschale 3-teilig (326) P.D flach - 100Stk.
A08002;Alu-Menüschale 2-teilig (327) P.D tief - 100Stk.
A08013;Aluplatte V350G (V1) - 10Stk.
A08015;Aluplatte V550G (V3) - 10Stk.
A08014;Aluplatte V430G (V2) - 10Stk.
A08021;Aluschale C804 / 533 rund - 100Stk.
A08018;Aluschale 540 rund - 100Stk.
A08020;Aluschale C803L / 541 rund - 50Stk.
A08022;Aluschale C807L / 550 rund - 100Stk.
A08028;Aluschale R803L / 552 rund - 100Stk.
A08828;Deckel PVC (533/540) rund - 100Stk.
A08050;PVC Deckel (R803L/541) rund - 50Stk.
A03131;Toschi Topping Lampone/Himbeer - 1L
A03130;Toschi Topping Kiwi - 1L
A03136;(X) Toschi Topping Tropical Fruits - 1L
A03129;Toschi Topping Frutti di Bosco/Waldfrucht - 1L
A03128;Toschi Topping Fragola/Erdbeer - 1L
A03127;Toschi Topping Cioccolato - 1L
A03126;Toschi Topping Caramel - 1L
A03125;Toschi Topping Amarena - 1L
A03133;Toschi Topping Walnuss - 1L
A03132;Toschi Topping Tiramisu - 1L
A03566;Rummo Spaghettini n°2 - 500g
A03565;Rummo Spaghetti n°3 - 500g
A03563;Rummo Spaghetti Grossi n°5 - 500g
A03562;Rummo Linguine n°13 - 500g
A03561;Rummo Mezze Penne Rigate n°28 - 500g
A03568;Rummo Fusilli n°48 - 500g
A03567;Rummo Elicoidali n°49 - 500g
A03569;Rummo Rigatoni n°50 - 500g
A03560;Rummo Penne Rigate n°66 - 500g
A03564;Rummo Caserecce n°88 - 500g
A03570;Rummo Paccheri n°111 - 500g
A03573;Rummo Tagliolini n°93 - 250g
A03571;Rummo Pappardelle mit Ei n°101 - 250g
A03572;Rummo Tagliatelle mit Ei n°132 - 250g
A02032;Glas Birra Peroni Nastro Azzuro 5,1%vol. - 24x0,33L
A03485;Reggia Spaghetti n19 - 500g
A03482;Reggia Spaghetti n19 - 5kg
A03483;Reggia Elicoidali n23 - 500g
A03484;Reggia Penne Ziti Rigate n34 - 500g
A03480;Reggia Elicoidali n23 - 5kg
A03481;Reggia Penne Ziti Rigate n34 - 5kg
A03065;Montanaro Grappa La Branda 40%vol. (IT) - 1L
A04416;Sormani Mortadella Gusto Piu - *ca. 900g
A06492;(X)Rizzi Cipolle Borettane - 2650g
A03068;Zanin Grappa di Prosecco 40%vol. (IT) - 0,7L
A02466;Bianca Sambuca Extra 40%vol. - 0,7L
A02449;Zanin Amaretto Giulietta 21%vol. - 0,7L
A02390;Rialto Limoncello Liquore 30%vol. - 0,7L
A02451;Zanin Fragolino Di Bosco 25%vol. - 0,5L
A02435;Via Roma Grappa Barolo 40%vol. - 0,7L
A02436;Via Roma Grappa Brunello 40%vol. - 0,7L
A02452;Zanin Grappa Di Moscato Riserva Via Roma 40%vol. - 0,7L
A02391;Rialto Limoncello Liquore 30%vol. - 1,5L
A02330;Le Opere Grappa Prosecco 40%vol. - 0,7L
A02450;Zanin Blend 18 Grappa Cavallina 41,5%vol. - 1,5L
A02454;Zanin Maraschino 21%vol. - 0,7L
A02684;Contadina Grappa Invecchiata 38% - 0,7L
A02329;Grappa Veneta Bianca 40%vol. - 1,5L
A03079;Geometrika Grappa Bianca 38%vol. - 0,7L
A02453;Zanin Grappa Valpolicella Via Roma 40%vol. - 0,7L
A03061;Zanin Destillat Blend Pronos 40%vol. (IT) - 0,7L
A03553;Tadim Tel Sehriye - 500g
A02920;Nonino Grappa Lo Chardonnay Barrique Mono 41%vol. - 0,7L
A04136;Pecorino Schafskäse Romano DOP - 200g
A03437;(X)Frießinger Mühle Couscous - 1kg
A08019;Aluschale 651B eckig - 100Stk.
A06448;La Rosina Cherrytomaten - 400g
A06466;La Rosina Pomodorino Cherrytomaten - 2650ml
A06687;Carbone Halbgetrocknete gelbe Cherrytomaten/Ciliegini - 950g
A05039;Süßmost Crema di Balsamico weiß - 0,5L
A02738;Ferrocinto Timpa del Principe IGP weiß&halbtr. 13%vol. (IT) - 0,75L
A03436;Caputo Trockenhefe Lievito - 100g
A03407;Caputo 00 Pizzeria Blu Weizenmehl - 25kg
A03408;Caputo 00 Saccorosso Weizenmehl - 25kg
A03433;Caputo 0 Nuvola Super Weizenmehl - 25kg
A02998;Antonutti Pinot Grigio Grave del Friuli DOC weiß&trocken 13%vol. (IT) - 0,75L
A02991;Collevento 921 Pinot Grigio IGT weiß&trocken 12,5%vol. (IT) - 0,75L
A02990;Collevento 921 Chardonnay IGT weiß&trocken 12%vol. (IT) - 0,75L
A02994;Collevento 921 Rosato IGT rose&trocken 12%vol. (IT) - 0,75L
A02999;Antonutti Sauvignon Grave del Friuli DOC weiß&trocken 13%vol. (IT) - 0,75L
A02993;Collevento 921 Merlot IGT rot&trocken 12,5%vol. (IT) - 0,75L
A03056;Antonutti Novello IGT rot&halbtr. (IT) - 0,75L
A02795;Parolvini Chardonnay 12%vol. - 1,5L
A02709;Parolvini Merlot 12%Vol.- 1,5L
A02718;Parolvini Rosato Veneto 11,5%vol. - 1,5L
A02717;(X) Parolvini Merlot 12%vol. - 5L
A02716;Parolvini Pinot Grigio 12%Vol. - 1,5L
A02711;Parolvini Montepulciano 13% Vol. - 1,5L
A02713;Parolvini Nero d'Avola 13% Vol. - 1,5L
A02705;Parolvini Barone Nero 13%vol. - 5L
A02706;Parolvini Chardonnay 12%vol. - 0,75L
A02715;Parolvini Pinot Grigio 12%Vol.- 0,75L
A02708;Parolvini Merlot 12%Vol.- 0,75L
A02710;Parolvini Montepulciano 13% Vol. - 0,75L
A02712;Parolvini Nero d'Avola 13% Vol. - 0,75L
A02714;Parolvini Pinot Grigio 12%vol. - 5L
A02531;Banfi La Pettegola Vermentino Toscana IGT weiß&trocken 12,5%vol. (IT) - 0,75L
A02530;Banfi Stilnovo Toscano IGT rot&trocken 13,5%vol. (IT) - 0,75L
A02532;Banfi La Pettegola Rose Toscana IGT rose&trocken 12,5%vol. (IT) - 0,75L
A02529;Banfi Cum Laude Toscana IGT rot&trocken 14%vol. (IT) - 0,75L
A02528;Banfi Brunello di Montalcino DOCG rot&trocken 14,5%vol. (IT) - 0,75L
A02992;Collevento 921 Sauvignon IGT weiß&trocken 12%vol. (IT) - 0,75L
A04213;Tipo Parma Schinken geschnitten - 500g
A07497;Euro Garden Holzanzünder Riegel - 32Stk.
A02772;(X)Primitivo Colle Al Vento 420 14%vol. - 1,5L
A03311;Güllü Reis Tosya - 5kg
A03306;Güllü Gelber Reis/Sari Pirinc - 5kg
A03304;Güllü Basmati Reis - 5kg
A05029;Luglio Extra Vergine Olivenöl - 1L
A05030;Luglio Extra Vergine Olivenöl - 5L
A05028;Luglio 100% italienisch Extra Vergine Olivenöl - 1L
A05016;Luglio Olivenöl mit Peperoncino - 250ml
A05019;Luglio Olivenöl mit Zitrone/Limone - 250ml
A05014;Luglio Olivenöl mit Knoblauch/Aglio - 250ml
A05027;Primo Chef Blend Speiseöl - 1L
A05015;Luglio Olivenöl mit Orangen/Arancia - 250ml
A06512;Buscema Peperoncini al Tonno - 280g
A02459;(X) Vedova Prosecco DOC Rose Brut 11%vol. - 0,75L
A02458;(X)Vedova Prosecco Doc Wine Art Extra Dry 11%vol. - 0,75L
A03458;Le 5 Stagioni Weizenmehl Napoletana Rossa (Typ00) - 25kg
A03457;Le 5 Stagioni Weizenmehl Superiore (Typ00) - 25kg
A04141;Speckröllchen mit Frischkäse gefüllt in Öl - 800g
A04142;Gegrillte Auberginen in Öl - 800g
A04143;Gegrillte Zucchini in Öl - 800g
A04146;Gegrillte Artischockenherzen in Öl - 800g
A04147;Gegrillte Artischocken mit Stiel in Öl - 800g
A04151;Paprikaschotenröllchen mit Gemüsefüllung in Öl - 800g
A04150;Auberginenröllchen mit Gemüsefüllung in Öl - 800g
A04144;Kirschpaprika mit Thunfischfüllung in Öl - 800g
A04148;Gegrillte Borettane-Zwiebeln in Öl - 800g
A04145;Kirschpaprika mit Frischkäsefüllung in Öl - 800g
A03900;Delizie Tavola Meeresfrüchte in Öl - 2,4kg
A04138;Marinierte Sardellen in Öl - 800g
A04149;Zucchiniröllchen mit Frischkäsefüllung in Öl - 800g
A04139;Krakensalat mit Gemüse in Öl - 800g
A04140;Gegrillte Sepien mit Gemüse in Öl - 800g
A03901;Delizie Tavola Meeresfrüchte in Öl - 5kg
A03902;Delizie Tavola Meeresfrüchte in Wasser - 5kg
A04678;Giffoniello Mozzarella di Bufala Campana DOP - 2x125g
A04672;Burrata 50% - 125g
A02950;San Marzano Edda Bianco IPG weiß&trocken 14%vol. (IT) - 0,75L
A02959;San Marzano Tramari Rosé di Primitivo IGP rose&trocken 12,5%vol. (IT) - 0,75L
A02955;San Marzano Negroamaro IGP rot&halbtrocken 13,5%vol. (IT) - 0,75L
A02954;"San Marzano Negroamaro ""F"" IGP rot&trocken 14,5%vol. (IT) - 0,75L"
A02958;San Marzano Primitivo Puglia IGP rot&halbtr. 13,5%vol. (IT) - 0,75L
A02956;"San Marzano ""60 Anni"" Primitivo di Manduria DOP rot&halbtr. 14,5%vol. (IT) - 0,75L"
A02957;San Marzano SUD Primitivo di Manduria DOP rot&halbtr. 14%vol. (IT) - 0,75L
A02952;San Marzano Malvasia Sauvignon IGP weiß&trocken 12%vol. (IT) - 0,75L
A02951;San Marzano Talò Fiano IGP weiß&trocken 12,5%vol. (IT) - 0,75L
A02949;San Marzano Talò Chardonnay IPG weiß&trocken 12,5%vol. (IT) - 0,75L
A03037;Falcone Cantuccini - 1kg
A03036;Falcone Amarettini - 1kg
A04580;Mozzarella Fior Di Latte per Pizza Julienne geraspelt - 3kg
A05050;Viander Aceto Balsamico für Menage - 250ml
A05051;Viander Aceto Bianco für Menage - 250ml
A05020;Luglio Olivenöl mit Trüffel/Tartufo - 250ml
A03116;Viander Crema Tartufata - 580g
A06513;Viander Peperoncino Piccante - 280g
A03135;Toschi Topping Piu Pistacchio - 1L
A03117;Viander Creme Caramel - 1120g
A03119;Viander Preparato Panna Cotta - 1120g
A03120;Viander Preparato per Crema Tiramisu - 1080g
A03118;Viander Mousse au Chocolat - 1kg
A03121;Viander Pudding al Pistacchio - 900g
A06676;Arco Lacrimella-Kapern in Salzlake - 1kg
A06677;Arco Kapern mit Stiel in Essig - 720ml
A06683;Arco Gehackte Artischocken in Sonnenblumenöl/Spaccati - 3100ml
A06684;Arco Ganze Artischocken in Sonnenblumenöl/Medi - 3100ml
A06679;Arco Auberginen Filets/Melanzane - 3100ml
A06686;Italcarciofi Geröstete Artischocken in Öl/Grigliati - 3100ml
A06680;Gegrillte Paprikascheiben in Öl/Peperoni Grigliati - 3100ml
A06685;Italcarciofi Artischockenspalten in Öl/Spicchi - 3100ml
A02512;La Tunella Chardonnay DOP weiß&trocken 13%vol. (IT) - 0,75L
A02514;La Tunella Pinot Grigio DOP weiß&trocken 13%vol. (IT) - 0,75L
A02515;La Tunella Sauvignon DOP weiß&trocken 13%vol. (IT) - 0,75L
A02513;La Tunella Friulano DOP weiß&trocken 13%vol. (IT) - 0,75L
A04630;Parmesankäse Grana Padano D.O.P - 200g
A04631;Parmesankäse Grana Padano gerieben D.O.P - 1kg
A04675;Parmesankäse Grana Padano gehobelt DOP - 1kg
A09305;Pizza Karton Treviso 30x30x3 - 200Stk.
A09102;Pizza Karton Francia 24x24x4 - 100Stk.
A09103;Pizza Karton Francia 26x26x4 - 100Stk.
A09105;Pizza Karton Francia 29x29x4 - 100Stk.
A09106;Pizza Karton Francia 30x30x4 - 100Stk.
A09108;Pizza Karton Francia 32x32x4 - 100Stk.
A09104;Pizza Karton Francia 28x28x4 - 100Stk.
A09112;Pizza Karton Francia 40x60x5 - 50Stk.
A09113;Pizza Karton Francia 45x45x4,5 - 50Stk.
A09114;Pizza Karton Francia 50x50x4,5 - 50Stk.
A09116;Pizza Karton Francia 60x60x4,5 - 50Stk.
A09117;Pizza Karton Calzone 27x16x7 - 100Stk.
A09115;Pizza Karton Francia 35x56x5 - 50Stk.
A09111;Pizza Karton Francia 40x40x4 - 50Stk.
A09208;Pizza Karton CX 32x32x3 - 150Stk.
